Li,B,O,F,Na,Mg,Al,Si,P,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Sr,Y,Zr,Nb,Mo,Cd,In,Sn,Sb,Te,Cs,Ba,La,Ce,Nd,Sm,Eu,Gd,Dy,Er,Yb,Ta,W,Tl,Pb,Bi,tg
0,13.82,59.87,0,0,0,0,9.21,0,0,0,0,0,0,0,0,0,0,0,0,0,3.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.16,0.66,450
0,13.64,60.06,0,0,0,0,9.42,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.34,1.3,435
0,14.47,60.38,0,0,0,0,9.12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.69,1.89,445
0,14.33,60.44,0,0,0,0,9.03,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.28,2.49,448
0,0,64.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,468
0,0,58.37,7.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.55,434
0,0,56.16,9.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.17,393
0,0,55.85,9.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.43,385
4.24,0,58.74,0.45,8.98,0,2.13,20.07,0.22,0.07,0,0,0,0.18,0.32,1.92,0,0.47,0,0,0,0,0,0,0,0.79,0,0.01,0.01,0,0,0,0,0,0,0.04,0.25,0.9,0,0,0,0,0,0,0,0.01,0,0,0.13,498
3.57,0,60.01,0.38,7.54,0,1.79,22.2,0.19,0.06,0,0,0,0.15,0.27,1.62,0,0.39,0,0,0,0,0,0,0,0.67,0,0.01,0.01,0,0,0,0,0,0,0.03,0.21,0.76,0,0,0,0,0,0,0,0.01,0,0,0.1,509
5.11,0,57.13,0.54,10.81,0,2.59,17.31,0.29,0.08,0,0,0,0.21,0.39,2.31,0,0.57,0,0,0,0,0,0,0,0.96,0,0.01,0.01,0,0,0,0,0,0,0.05,0.3,1.08,0,0,0,0,0,0,0,0.01,0,0,0.16,484
3.74,5.12,58.89,0.39,7.83,0,1.86,17.46,0.21,0.06,0,0,0,0.15,0.28,1.67,0,0.41,0,0,0,0,0,0,0,0.7,0,0.01,0.01,0,0,0,0,0,0,0.04,0.22,0.78,0,0,0,0,0,0,0,0.01,0,0,0.11,503
3.99,2.53,58.83,0.42,8.4,0,1.99,18.79,0.22,0.07,0,0,0,0.16,0.3,1.8,0,0.44,0,0,0,0,0,0,0,0.75,0,0.01,0.01,0,0,0,0,0,0,0.04,0.23,0.84,0,0,0,0,0,0,0,0.01,0,0,0.12,505
10.18,0,56.34,0.41,8.09,0,1.93,18.16,0.21,0.06,0,0,0,0.16,0.29,1.75,0,0.43,0,0,0,0,0,0,0,0.71,0,0.01,0.01,0,0,0,0,0,0,0.04,0.22,0.81,0,0,0,0,0,0,0,0.01,0,0,0.12,457
0,0,60.47,0.48,9.59,0,2.3,21.38,0.27,0.08,0,0,0,0.18,0.35,2.05,0,0.5,0,0,0,0,0,0,0,0.85,0,0.01,0.01,0,0,0,0,0,0,0.04,0.26,0.96,0,0,0,0,0,0,0,0.01,0,0,0.14,562
4.14,0,58.79,0.43,8.65,0,2.07,19.41,0.23,0.07,0,0,0,0.17,0.31,3.16,0,0.45,0,0,0,0,0,0,0,0.76,0,0.01,0.01,0,0,0,0,0,0,0.04,0.24,0.87,0,0,0,0,0,0,0,0.01,0,0,0.13,504
4.44,0,58.69,0.47,9.43,0,2.26,21.06,0.25,0.08,0,0,0,0.18,0.34,0,0,0.49,0,0,0,0,0,0,0,0.84,0,0.01,0.01,0,0,0,0,0,0,0.04,0.26,0.95,0,0,0,0,0,0,0,0.01,0,0,0.13,490
