Li,B,O,F,Na,Mg,Al,Si,P,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Sr,Y,Zr,Nb,Mo,Cd,In,Sn,Sb,Te,Cs,Ba,La,Ce,Nd,Sm,Eu,Gd,Dy,Er,Yb,Ta,W,Tl,Pb,Bi,ts
0,2.35,67.77,0,0,0,0.53,0.45,7.3,3.18,0,0,15.29,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0.18,344
0,2.42,67.71,0,0,0,0.55,0.47,7.12,2.98,0,0,15.12,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0.6,356
0,2.27,68.09,0,0,0,0.52,0.44,7.25,3.08,0,0,15.96,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,0,0.11,350
0,2.28,68.55,0,0,0,0,0,7.46,2.81,0,0,16.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0.11,347
0,0,66.76,0,0,0,0,0,2.11,0,0,0,19.93,0,0,0,0,0,0,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.12,0.93,225
0,0,66.67,0,0,0,0,0,2.17,0,0,0,19.81,0,0,0,0,0,0.2,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.07,0.93,220
0,0,67.02,0,0,0,0,0,1.77,0,0,0,20.32,0,0,0,0,0,0,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.53,1.8,230
0,0,66.57,0,0,0,0,0,2.97,0,0,0,18.52,0,0,0,0,0,0,2.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.55,1.81,235
0,0,66.22,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,2.73,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.15,1.9,236
0,0,63.62,3.48,0,0,0,0,0,0,0,0,20.62,0,0,0,0,0,0.6,1.57,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.42,0.73,220
0,0,63.91,3.52,0,0,0,0,0,0,0,0,20.91,0,0,0,0,0,0,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,8.54,0.56,220
0,0,64.29,2.8,0,0,0,0,1.81,0,0,0,18.89,0,0,0,0,0,0,1.58,0,0,0,0,0,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1,0.55,230
0,0,66.92,0,0,0,0,0,2.13,0,0,0,20.11,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2,0.94,242
0,0,66.22,0,0,0,0,0,2.91,0,0,0,18.17,0,0,0,0,0,0,3.55,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.41,1.06,220
0,0,67.29,0,0,0,0,0,1.74,0,0,0,19.51,0,0,0,0,0,0,2.03,0,0,0,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71,0,7.39,0.71,225
0,0,67.42,0,0,0,0,0,1.71,0,0,0,19.17,0,0,0,0,0,0,1.99,0,0,0,0,0,0,0.61,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.27,0.7,225
0,0,66.04,0,0,0,0,0,2.89,0,0,0,18.01,0,0,0,0,0,0,3.52,0,0,0,0,0,0,0.61,0,0,0,0,0,0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42,1.05,205
0,0,65.21,0,0,0,0,0,2.87,0,0,0,17.89,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0.61,0,0,0,0,0,0,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55,1.05,200
0,14.19,54.98,0,0,0,0,0.88,0,0,0,0,0,0,0,1.16,0,0,0,3.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,21.33,3.53,339
0,11.93,54.68,0,0,0,0,0.36,0,0,0,0,0,0,0,0.82,0,0,0,2.69,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,22.23,6.26,340
0,12.61,54.42,0,0,0,0,0.47,0,0,0,0,0,0,0,0.89,0,0,0,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,23.03,4.26,345
0,12.5,54.53,0,0,0,0,0.58,0,0,0,0,0,0,0,1.23,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,22.67,4.22,343
0,12.3,54.28,0,0,0,0,0.7,0,0,0,0,0,0,0,1.23,0,0,0,3.19,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99,0,0,0,0,0,0,0,0,0,0,0,0,0,22.11,4.19,343
0,11.91,54.34,0,0,0,0,0.57,0,0,0,0,0,0,0,1.21,0,0,0,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,21.81,4.07,340
0,12.32,54.37,0,0,0,0,0.59,0,0,0,0,0,0,0,1.32,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,22.46,4.17,245
0,25.72,58.22,0,0,0,0,3.42,0,0,0.52,0,0,0,0,0,0,0,0,4.69,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,3.26,0,0,0,0,0,0,0,0,0,0,0,0,3.94,0.13,585
0,14.9,52.4,2.83,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,1.93,4.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.32,0.4,260
0,15.83,52.85,2.69,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0,1.23,4.07,0,0,0,0,0,0,0,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.36,0.38,256
